datetime,cm
2022-04-19 00:00:00,167.51342281879195
2022-04-19 00:05:00,167.45637583892616
2022-04-19 00:10:00,167.46
2022-04-19 00:15:00,167.50836120401337
2022-04-19 00:20:00,167.44932432432432
2022-04-19 00:25:00,167.44781144781146
2022-04-19 00:30:00,167.40802675585283
2022-04-19 00:35:00,167.36789297658862
2022-04-19 00:40:00,167.42
2022-04-19 00:45:00,167.45
2022-04-19 00:50:00,166.93645484949832
2022-04-19 00:55:00,166.82333333333332
2022-04-19 01:00:00,166.46333333333334
2022-04-19 01:05:00,166.73986486486487
2022-04-19 01:10:00,166.7458193979933
2022-04-19 01:15:00,166.4391891891892
2022-04-19 01:20:00,166.5
2022-04-19 01:25:00,166.45150501672242
2022-04-19 01:30:00,166.45117845117846
2022-04-19 01:35:00,166.50501672240802
2022-04-19 01:40:00,166.39597315436242
2022-04-19 01:45:00,166.41216216216216
2022-04-19 01:50:00,166.44816053511707
2022-04-19 01:55:00,166.45150501672242
2022-04-19 02:00:00,166.4581939799331
2022-04-19 02:05:00,166.36577181208054
2022-04-19 02:10:00,166.46644295302013
2022-04-19 02:15:00,166.438127090301
2022-04-19 02:20:00,166.45150501672242
2022-04-19 02:25:00,166.43333333333334
2022-04-19 02:30:00,166.47333333333333
2022-04-19 02:35:00,166.44295302013424
2022-04-19 02:40:00,166.46979865771812
2022-04-19 02:45:00,166.43
2022-04-19 02:50:00,166.45973154362417
2022-04-19 02:55:00,166.50836120401337
2022-04-19 03:00:00,166.50501672240802
2022-04-19 03:05:00,166.37
2022-04-19 03:10:00,166.38926174496643
2022-04-19 03:15:00,166.46153846153845
2022-04-19 03:20:00,166.3939393939394
2022-04-19 03:25:00,166.43097643097644
2022-04-19 03:30:00,166.4648829431438
2022-04-19 03:35:00,166.42809364548495
2022-04-19 03:40:00,166.42140468227424
2022-04-19 03:45:00,166.4180602006689
2022-04-19 03:50:00,166.4581939799331
2022-04-19 03:55:00,166.42140468227424
2022-04-19 04:00:00,166.44481605351172
2022-04-19 04:05:00,166.47635135135135
2022-04-19 04:10:00,166.45973154362417
2022-04-19 04:15:00,166.44295302013424
2022-04-19 04:20:00,166.4715719063545
2022-04-19 04:25:00,166.45637583892616
